Valsts nosaukums;Benzīna cena (€/L);Dīzeļdegvielas cena (€/L);Datums
Austria;1.795;2.043;17 Aug 26
Belgium;1.841;2.174;17 Aug 26
Bulgaria;1.535;1.768;17 Aug 26
Croatia;1.623;1.835;17 Aug 26
Cyprus;1.595;1.805;17 Aug 26
Czechia;1.714;1.844;17 Aug 26
Denmark;2.445;2.25;17 Aug 26
Estonia;1.772;1.88;17 Aug 26
Finland;2.14;2.318;17 Aug 26
France;2.038;2.199;17 Aug 26
Germany;2.239;2.266;17 Aug 26
Greece;2.002;1.996;17 Aug 26
Hungary;1.615;1.86;17 Aug 26
Ireland;1.839;1.901;17 Aug 26
Italy;1.988;2.079;17 Aug 26
Latvia;1.817;1.914;17 Aug 26
Lithuania;1.77;2.031;17 Aug 26
Luxembourg;1.727;1.922;17 Aug 26
Malta;1.34;1.21;17 Aug 26
Netherlands;2.329;2.383;17 Aug 26
Poland;1.481;1.686;17 Aug 26
Portugal;1.954;2.026;17 Aug 26
Romania;1.816;2.03;17 Aug 26
Slovakia;1.696;1.832;17 Aug 26
Slovenia;1.578;1.845;17 Aug 26
Spain;1.705;1.829;17 Aug 26
Sweden;1.408;1.78;17 Aug 26
Austria;1.721;1.965;10 Aug 26
Belgium;1.814;2.157;10 Aug 26
Bulgaria;1.533;1.743;10 Aug 26
Croatia;1.685;1.903;10 Aug 26
Cyprus;1.594;1.783;10 Aug 26
Czechia;1.703;1.813;10 Aug 26
Denmark;2.325;2.143;10 Aug 26
Estonia;1.717;1.825;10 Aug 26
Finland;2.165;2.334;10 Aug 26
France;2.014;2.169;10 Aug 26
Germany;2.143;2.149;10 Aug 26
Greece;1.98;1.986;10 Aug 26
Hungary;1.582;1.812;10 Aug 26
Ireland;1.837;1.901;10 Aug 26
Italy;1.993;2.081;10 Aug 26
Latvia;1.802;1.898;10 Aug 26
Lithuania;1.756;1.996;10 Aug 26
Luxembourg;1.619;1.798;10 Aug 26
Malta;1.34;1.21;10 Aug 26
Netherlands;2.29;2.323;10 Aug 26
Poland;1.696;1.864;10 Aug 26
Portugal;1.896;1.975;10 Aug 26
Romania;1.791;2.013;10 Aug 26
Slovakia;1.701;1.833;10 Aug 26
Slovenia;1.619;1.878;10 Aug 26
Spain;1.703;1.822;10 Aug 26
Sweden;1.308;1.68;10 Aug 26
Austria;1.838;2.05;03 Aug 26
Belgium;1.883;2.179;03 Aug 26
Bulgaria;1.533;1.743;03 Aug 26
Croatia;1.691;1.889;03 Aug 26
Cyprus;1.561;1.698;03 Aug 26
Czechia;1.744;1.844;03 Aug 26
Denmark;2.459;2.264;03 Aug 26
Estonia;1.812;1.877;03 Aug 26
Finland;2.196;2.337;03 Aug 26
France;2.066;2.216;03 Aug 26
Germany;2.184;2.208;03 Aug 26
Greece;2.02;2.064;03 Aug 26
Hungary;1.647;1.824;03 Aug 26
Ireland;1.817;1.846;03 Aug 26
Italy;1.992;2.09;03 Aug 26
Latvia;1.874;1.94;03 Aug 26
Lithuania;1.801;2.035;03 Aug 26
Luxembourg;1.708;1.853;03 Aug 26
Malta;1.34;1.21;03 Aug 26
Netherlands;2.37;2.414;03 Aug 26
Poland;1.756;1.879;03 Aug 26
Portugal;1.982;2.049;03 Aug 26
Romania;1.803;2.028;03 Aug 26
Slovakia;1.761;1.809;03 Aug 26
Slovenia;1.649;1.865;03 Aug 26
Spain;1.687;1.794;03 Aug 26
Sweden;1.453;1.825;03 Aug 26
Austria;1.874;2.051;27 Jul 26
Belgium;1.888;2.141;27 Jul 26
Bulgaria;1.515;1.679;27 Jul 26
Croatia;1.616;1.771;27 Jul 26
Cyprus;1.517;1.639;27 Jul 26
Czechia;1.746;1.815;27 Jul 26
Denmark;2.486;2.29;27 Jul 26
Estonia;1.812;1.877;27 Jul 26
Finland;2.178;2.27;27 Jul 26
France;2.057;2.169;27 Jul 26
Germany;2.191;2.186;27 Jul 26
Greece;2.017;2.041;27 Jul 26
Hungary;1.658;1.721;27 Jul 26
Ireland;1.758;1.752;27 Jul 26
Italy;1.961;2.141;27 Jul 26
Latvia;1.885;1.936;27 Jul 26
Lithuania;1.793;1.995;27 Jul 26
Luxembourg;1.764;1.889;27 Jul 26
Malta;1.34;1.21;27 Jul 26
Netherlands;2.385;2.393;27 Jul 26
Poland;1.719;1.818;27 Jul 26
Portugal;1.99;2.026;27 Jul 26
Romania;1.768;1.995;27 Jul 26
Slovakia;1.765;1.737;27 Jul 26
Slovenia;1.626;1.788;27 Jul 26
Spain;1.645;1.722;27 Jul 26
Sweden;1.455;1.825;27 Jul 26
Austria;1.833;1.931;20 Jul 26
Belgium;1.856;2.06;20 Jul 26
Bulgaria;1.477;1.578;20 Jul 26
Croatia;1.601;1.721;20 Jul 26
Cyprus;1.485;1.595;20 Jul 26
Czechia;1.72;1.707;20 Jul 26
Denmark;2.459;2.183;20 Jul 26
Estonia;1.742;1.757;20 Jul 26
Finland;2.163;2.196;20 Jul 26
France;2.01;2.066;20 Jul 26
Germany;2.192;2.158;20 Jul 26
Greece;1.977;1.95;20 Jul 26
Hungary;1.642;1.687;20 Jul 26
Ireland;1.72;1.695;20 Jul 26
Italy;1.91;2.038;20 Jul 26
Latvia;1.812;1.798;20 Jul 26
Lithuania;1.769;1.927;20 Jul 26
Luxembourg;1.726;1.804;20 Jul 26
Malta;1.34;1.21;20 Jul 26
Netherlands;2.341;2.31;20 Jul 26
Poland;1.682;1.725;20 Jul 26
Portugal;1.972;1.96;20 Jul 26
Romania;1.721;1.888;20 Jul 26
Slovakia;1.713;1.668;20 Jul 26
Slovenia;1.587;1.69;20 Jul 26
Spain;1.582;1.622;20 Jul 26
Sweden;1.439;1.707;20 Jul 26
Austria;1.762;1.84;13 Jul 26
Belgium;1.811;1.963;13 Jul 26
Bulgaria;1.46;1.498;13 Jul 26
Croatia;1.599;1.662;13 Jul 26
Cyprus;1.466;1.569;13 Jul 26
Czechia;1.641;1.516;13 Jul 26
Denmark;2.365;2.05;13 Jul 26
Estonia;1.721;1.686;13 Jul 26
Finland;2.143;2.15;13 Jul 26
France;1.964;1.948;13 Jul 26
Germany;2.101;2.015;13 Jul 26
Greece;1.979;1.854;13 Jul 26
Hungary;1.636;1.685;13 Jul 26
Ireland;1.713;1.689;13 Jul 26
Italy;1.864;1.957;13 Jul 26
Latvia;1.768;1.705;13 Jul 26
Lithuania;1.697;1.803;13 Jul 26
Luxembourg;1.698;1.698;13 Jul 26
Malta;1.34;1.21;13 Jul 26
Netherlands;2.297;2.149;13 Jul 26
Poland;1.595;1.612;13 Jul 26
Portugal;1.913;1.848;13 Jul 26
Romania;1.652;1.806;13 Jul 26
Slovakia;1.694;1.603;13 Jul 26
Slovenia;1.56;1.634;13 Jul 26
Spain;1.542;1.549;13 Jul 26
Sweden;1.382;1.571;13 Jul 26
Austria;1.686;1.73;06 Jul 26
Belgium;1.729;1.879;06 Jul 26
Bulgaria;1.462;1.478;06 Jul 26
Croatia;1.593;1.648;06 Jul 26
Cyprus;1.471;1.575;06 Jul 26
Czechia;1.621;1.47;06 Jul 26
Denmark;2.325;2.007;06 Jul 26
Estonia;1.641;1.599;06 Jul 26
Finland;2.125;2.141;06 Jul 26
France;1.921;1.863;06 Jul 26
Germany;2.058;1.928;06 Jul 26
Greece;1.95;1.753;06 Jul 26
Hungary;1.648;1.673;06 Jul 26
Ireland;1.73;1.713;06 Jul 26
Italy;1.81;1.887;06 Jul 26
Latvia;1.72;1.639;06 Jul 26
Lithuania;1.661;1.735;06 Jul 26
Luxembourg;1.646;1.61;06 Jul 26
Malta;1.34;1.21;06 Jul 26
Netherlands;2.203;2.021;06 Jul 26
Poland;1.579;1.602;06 Jul 26
Portugal;1.898;1.795;06 Jul 26
Romania;1.652;1.813;06 Jul 26
